PTT_OP,PTTGC_OP,PTT_CL
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
50.5 , 79.5 , 51.75
51.5 , 80.5 , 51.5
50.94117647058823 , 75.625 , 50.94117647058823
50.5 , 79.25 , 50.25
50.5 , 79.5 , 49.5
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
49.5 , 79.75 , 49.25
49.5 , 79.25 , 49.0
49.0 , 78.5 , 47.5
47.5 , 76.5 , 47.75
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
47.75 , 76.0 , 48.0
47.5 , 75.0 , 48.0
46.75 , 72.0 , 47.0
46.75 , 71.75 , 46.75
46.5 , 72.0 , 47.5
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
47.25 , 73.5 , 47.5
46.75 , 72.0 , 45.25
45.5 , 71.5 , 45.5
47.0 , 73.0 , 45.5
45.75 , 71.75 , 46.0
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
50.94117647058823 , 75.625 , 50.94117647058823
